node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
337,19123,57192,18299,6245,5712,7725,6844,4567,7311,3753,11618,6852,13137,4840,13858,9393,16799,7780,10510,5545,6914,10369,5132,7172,5106,4646,9614,4113,13890,4493,12235,20225,29713,12710,6767,6425,13038,12318,5137,4294,12673,7727,12737,30762,3623,5380,4854,509170
338,37096,54452,13611,54059,8333,4469,10976,7621,11173,6256,12572,4500,9539,12468,32909,10492,11340,5238,6704,9711,7652,9948,4608,9238,14669,10266,14828,7830,15996,6641,12909,26783,14094,11152,6720,4736,5783,19366,4274,3624,10797,7341,11466,3195,5024,6231,6463,585153
339,31475,24823,12943,6009,7926,6016,14077,6458,9979,6590,12147,6775,15483,4510,7689,11287,12919,4546,10187,4412,6783,2843,11980,6127,6921,6481,5283,6384,3598,4536,3134,50869,17130,12471,3455,4737,7890,9915,6269,5064,7964,6368,8316,4292,4700,4900,2739,437400
340,32228,32135,10054,11490,16474,14767,10168,10705,15455,9851,17834,8320,11793,8800,17849,13984,15412,10980,6239,8224,6858,8568,12358,5259,7681,11582,4380,8880,5341,11760,7488,34532,11524,10686,6582,6630,10405,12157,4965,5746,8211,14793,72570,5506,6277,7556,13437,604494
341,44513,22587,26000,15448,13521,10432,14278,24173,10744,19971,10878,11423,19093,14376,20356,18945,13514,8297,13723,11739,8715,9946,8471,8921,8365,10523,5094,9752,6922,9812,5983,42206,25642,45455,10341,10806,10934,19650,9933,15715,13133,16769,119236,16610,12578,16298,9000,830821
342,17854,40111,12770,17605,15873,24212,12240,20834,16438,19918,15912,33279,10422,37996,15700,31719,13400,11215,11565,13009,11583,13164,7845,8747,6352,5979,7619,11929,6365,27446,12922,51948,16869,13371,9074,12852,8244,5599,8173,9973,9240,12591,31700,10733,13272,8703,10572,744937
343,44105,19116,29172,14480,18265,18709,17359,17053,15651,14551,28930,12576,18683,14768,21453,10708,10602,20020,8113,17548,8636,24423,10002,11450,5437,8507,17440,11950,19138,9150,55104,6305,13128,4818,8540,10981,5005,12796,5881,8634,9213,14372,29353,5941,8372,5055,9489,710982
344,17281,30428,11526,11350,13315,16662,11128,15252,11061,21833,10354,27370,15508,22057,13976,34075,8333,8844,12138,12099,7269,12152,8780,10216,6444,25234,14442,28498,12016,5925,10970,41697,13176,29778,10447,14275,13484,13415,10328,11269,12380,13416,37828,16381,14271,13690,12577,744948
345,60121,33158,12239,40116,8270,37249,9982,39040,9035,43236,9737,32820,9860,42156,8312,58351,84308,10699,31582,14711,8264,9918,17127,28592,9539,24689,11581,6548,13735,31999,16310,18909,6620,13621,5031,7376,8380,8324,7067,4970,17806,8124,133570,8037,15067,9732,6900,1052818
346,67866,28797,8839,29367,12694,15276,10339,21610,8769,21934,10157,21089,15313,13825,12159,36536,7389,14903,7558,12293,12999,9153,13248,7991,12183,12368,11142,15712,12661,19951,9530,55527,21488,17411,6752,4323,6484,11565,10738,3365,10122,14691,93755,7101,6013,11833,10484,805303
