node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
164,8197,8781,8640,13177,10421,9735,4799,6653,9375,6652,17388,1353,5218,3729,3316,3186,7178,4841,11607,144246
165,9348,9954,10705,5386,6284,12063,3695,17962,1961,11052,281,11069,9071,2769,9458,4828,10095,12988,3748,152717
166,5670,10158,6933,7830,3818,7460,6767,9479,13845,5256,5259,4407,4116,6278,4566,5055,5442,5977,8780,127096
167,9291,7583,7422,4921,6454,12799,11768,15691,3309,8899,5149,7264,6291,12821,7145,5554,4471,8463,11755,157050
168,12208,9397,7050,9655,3586,3503,14754,17676,22042,5843,9697,13257,10824,11142,8623,7585,7891,12206,8523,195462
169,1084,1779,1916,2390,4785,2536,266,2038,290,2023,2269,4107,1900,960,73,72,1040,475,1067,31070
170,4909,11109,9199,5836,9411,6557,7950,5591,8246,10720,7340,10139,4772,7478,3682,10726,9704,5051,7920,146340
171,5876,5938,4298,5639,3170,2743,1903,4029,3068,5033,3130,5299,1258,550,6248,1860,1631,1975,1106,64754
172,4823,3113,6511,6470,2674,1697,3942,1714,1469,5563,1116,2322,5944,3309,2076,6851,4107,4330,945,68976
173,9134,5861,643,7198,12264,3983,3406,376,2810,1200,1735,208,1472,3519,2543,5132,7832,3372,3623,76311
174,9759,7938,2217,7517,3580,6087,4109,5399,3192,3737,2278,3343,3465,889,3656,6331,8148,4187,5536,91368
175,7213,5659,8029,6326,2437,3351,13310,8794,4305,4141,5156,5003,1050,1158,8448,4222,6028,2147,9231,106008
176,17801,8720,6466,8749,3744,9375,6464,5542,10383,7162,4136,5650,4290,341,7680,1196,2588,7061,12945,130293
177,9015,12352,5874,5387,11025,2372,4129,8428,7806,7333,2606,4511,4664,317,6771,1116,1618,3042,6349,104715
178,4588,6610,7260,5234,3968,5652,5478,6472,6222,8231,5268,5214,5384,4527,535,4345,6310,5825,4784,101907
179,2343,5893,9325,6515,7358,10557,7719,5740,6382,10117,8276,8847,5787,2480,3403,3792,3741,8178,15073,131526
