node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
164,128543,98604,31983,37120,13152,9963,7482,6706,2837,6528,5426,5626,13158,14661,15629,128561,134558,660537
165,108294,14008,23236,5662,1401,1330,664,878,1856,849,770,10156,9970,9198,19610,10172,31748,249802
166,84673,44339,13774,5696,2600,1780,1814,1961,2353,3259,7297,5364,4424,13993,6704,3650,20511,224192
167,49571,16572,3199,5501,2311,1058,819,734,827,1013,2841,1276,1173,10677,5122,3979,9848,116521
168,22752,7685,1209,175,2140,916,592,429,594,456,2293,378,374,9522,1084,4798,13380,68777
169,12217,5227,218,82,131,2034,472,335,349,273,2024,241,293,10873,2360,2465,10579,50173
170,8133,3479,112,31,63,73,399,233,265,234,1328,223,252,14856,720,2089,8814,41304
171,7588,1953,66,39,71,75,122,266,249,250,321,189,236,7566,3828,1906,9168,33893
172,7775,2506,79,75,61,1053,50,1226,810,577,142,387,307,9781,4620,1923,11749,43121
173,6526,1764,1059,42,51,49,65,1163,992,643,56,416,376,10579,2188,2537,6142,34648
174,7957,1484,62,55,69,49,81,285,905,1730,1760,330,333,13593,1666,1455,14592,46406
175,26441,14385,12597,2239,1401,1292,2178,1058,3368,3647,2450,11726,9461,16555,12888,17653,16220,155559
176,26125,11870,22612,6312,3823,1645,2669,1829,2624,1978,1920,8923,21183,11664,8008,8665,10213,152063
177,23298,11767,29878,14639,4988,2352,3172,3514,1875,1642,1813,7251,5835,12721,9224,8415,6988,149372
178,33146,74009,26128,58594,31221,68547,40000,17299,34770,18702,5881,5802,4334,7189,3320,2311,2860,434113
179,17644,47595,21632,38019,37743,29744,29010,14118,30612,15262,8038,3770,3876,3603,2197,2082,3555,308500
180,11255,20887,10706,21871,14282,18084,23044,22329,11432,5726,3368,3277,2647,3240,2791,2089,10425,187453
181,17808,27313,12319,38831,17078,7927,11034,8848,10913,11782,12322,9568,11258,9745,9618,20602,19115,256081
182,32371,27437,22661,12513,4811,2683,5273,18109,10398,10012,5357,15987,10917,19045,9390,11539,9021,227524
183,27806,26611,19495,17083,9242,4002,3420,7054,12872,9415,10258,5504,16910,9638,10742,9868,8193,208113
184,24723,22788,28020,20684,4909,7157,5041,6054,6393,7475,4390,3086,8925,7694,14404,6177,7742,185662
185,24438,11073,22705,5650,6208,3018,4191,6273,4269,4340,2961,7090,4717,10510,4258,5521,6640,133862
186,21774,6549,8144,16042,10793,8397,4821,6096,3425,2352,1938,3463,3238,6684,5449,2960,4014,116139
187,8255,6449,16486,9464,5092,10279,10372,6703,4819,4320,7078,22834,16405,15485,14232,9866,6631,174770
188,13275,10756,16092,8789,6133,5754,6856,13163,7192,6296,3935,18604,13861,15587,10389,7805,5299,169786
189,10445,10813,15687,7778,6839,4879,4275,4934,6489,9968,6163,15709,11923,11286,8851,6783,4541,147363
190,14362,7605,11816,9497,8695,2299,4669,3654,6024,8539,8176,15815,9472,5212,6202,4381,4072,130490
191,17468,14309,20082,12687,11967,9120,6181,5136,5517,11011,12027,15912,18219,9055,8206,9659,5097,191653
192,10403,6809,4011,12606,6863,9543,5924,6514,4640,5413,9171,19140,7234,8883,4956,6057,7139,135306
193,18121,7658,5735,9105,9093,5431,8870,3028,3612,7733,5892,10919,10124,7370,5775,7658,4801,130925
194,14602,6139,15364,5474,6747,7583,4430,2608,3906,5369,6810,9750,5409,4628,3693,5164,903,108579
195,11022,10573,18097,7434,5710,4563,6395,7154,2429,6108,6809,10280,6250,5893,4984,4882,3862,122445
196,8239,3662,13144,8216,1921,2100,5258,3013,2985,3220,4475,12336,5577,1322,6568,9403,5108,96547
197,9567,10722,21630,6628,4092,10996,4610,4919,3362,4577,2156,6366,3751,6591,5182,4048,4903,114100
198,4614,6466,12655,7901,4699,3570,7501,10078,2331,3698,4002,6561,9824,4775,5649,5193,5903,105420
199,6320,8708,9931,5980,4441,5291,6276,5766,7267,5063,3389,11568,8064,3784,5051,3982,7970,108851
200,6941,8088,8184,5019,3766,3306,2480,2602,6259,6239,4917,5977,4935,4775,2947,4837,8109,89381
201,4326,8368,9375,5284,10263,6387,3415,1445,1796,3600,8023,4173,3466,3869,3772,3166,5999,86727
202,8446,2653,5885,7297,2425,5436,2505,2827,2285,3328,3621,9519,3915,2985,3187,2533,5409,74256
203,9625,12296,8963,13987,6998,5828,2305,1623,1524,1372,1462,7281,7307,6255,4795,8147,9111,108879
204,7500,7290,8507,3630,4198,3519,2650,2095,2212,3466,5331,2858,4003,4720,5231,6125,3859,77194
205,11713,6541,12104,3198,3836,4965,4304,6380,4180,6513,4855,3545,4962,2922,3622,6833,4885,95358
206,5922,5195,10733,10134,2034,3626,5215,2888,3786,3760,4636,1604,4092,6230,2855,3073,4520,80303
207,11151,8002,10275,8991,3362,9361,4748,2707,4185,3700,3168,6726,3746,4725,5242,3660,4621,98370
208,10013,7923,11257,7799,4000,8682,9693,2900,2873,3724,3311,5774,4801,6681,5182,8056,6890,109559
209,7111,9617,8530,3190,5362,3347,3428,5064,6365,2956,1726,3894,3896,3412,6147,5397,6285,85727
210,6493,6532,10544,4626,4776,2512,1623,2247,2908,5251,4690,2867,4008,5544,5402,10157,8070,88250
211,5687,10960,11066,3493,7839,4915,2065,974,1240,3034,6322,9360,3540,7374,5268,6009,5325,94471
212,4674,1636,6038,5402,2043,8489,3413,3687,4113,2848,5274,6665,6039,6470,2745,5359,2926,77821
213,15181,8930,7271,13013,4471,5154,1416,1755,2558,3494,4155,8517,6283,2878,3177,4072,6181,98506
